Neutron_Porosity,Deep_Resistivity,Medium_Resistivity,Gamma_Ray,Density,DTC
0.0835,3.7844,3.2932,9.0616,2.5486,65.081
0.0838,3.9253,3.4276,10.2139,2.5722,65.6489
0.0847,4.0239,3.5213,10.6144,2.5798,66.1548
0.0868,3.8258,3.3315,10.8636,2.5767,66.5582
0.0872,3.7314,3.2446,11.7565,2.5839,66.6053
0.0861,3.6569,3.1736,12.9714,2.5909,66.3984
0.0858,3.7649,3.2682,13.324000000000002,2.5972,65.9904
0.08800000000000001,3.9841,3.4688,12.0833,2.6033,65.5356
0.0862,4.1972,3.6686,11.3799,2.6022,64.8972
0.0814,4.4139,3.8739,11.3092,2.6057,64.2096
0.0811,4.5425,3.9943,9.9206,2.6151,63.4821
0.0758,4.8496,4.3005,9.1924,2.6225,63.0981
0.07,4.9477,4.4033,10.0183,2.6286,63.0229
0.0695,4.7873,4.2432,10.385,2.6127,63.4746
0.0705,4.9346,4.3793,10.1044,2.6099,63.9326
0.0714,4.8522,4.2845,10.1093,2.6092,64.1421
0.0708,4.5271,3.9651,9.8966,2.6092,64.0708
0.0694,4.545,3.9914,10.0499,2.6015,63.9567
0.0721,4.8260000000000005,4.2728,10.5012,2.5978,63.8329
0.0753,5.015,4.463,9.946,2.6058,63.4791
0.0763,4.8241,4.27,8.9423,2.5969,63.1165
0.0746,4.5906,4.0316,9.0394,2.6047,62.6944
0.073,4.7164,4.1549,9.107000000000001,2.6036,62.505
0.0734,4.9591,4.3985,8.4984,2.5885,62.4432
0.0745,5.1965,4.6392,8.1999,2.6159,62.4485
0.0713,5.2033,4.6396,8.7169,2.6197,62.4376
0.0664,5.1088,4.5347,10.0646,2.6111,62.4175
0.0662,5.2105,4.6389,9.7267,2.6193,62.4339
0.0665,5.2643,4.6871,9.1514,2.6304,62.7545
0.0668,5.1125,4.5169999999999995,9.1957,2.6256,63.0679
0.0689,4.9378,4.3305,8.8126,2.6204,63.388000000000005
0.07,5.0786,4.4792,9.2917,2.6163,63.653999999999996
0.0718,4.8845,4.2786,9.5447,2.6195,63.9426
0.0802,4.3746,3.7696,9.3264,2.6123,64.3041
0.0848,3.9669,3.3738,9.3936,2.5893,64.6148
0.0837,3.9318,3.3577,9.7697,2.5926,64.8952
0.0837,4.078,3.5028,9.8866,2.5927,65.0224
0.0848,4.2938,3.7199,9.5471,2.5952,64.9746
0.0847,4.28,3.6917,9.4891,2.6095,64.9178
0.083,3.8547,3.2933,10.1129,2.6161,64.9175
0.0829,3.8480000000000003,3.3053,10.6854,2.6139,64.8879
0.0806,4.4522,3.8977,10.8411,2.5971,64.6584
0.0789,4.7714,4.2136,10.6623,2.5929,64.1786
0.0784,4.968,4.4093,10.1428,2.5926,63.5928
0.0769,5.1545,4.5955,9.0899,2.6118,63.2799
0.0741,5.0442,4.4801,9.0952,2.6095,63.2438
0.0703,5.0303,4.4673,9.7617,2.5968,63.4669
0.0693,5.0125,4.4447,9.443999999999999,2.6039999999999996,63.9266
0.0752,4.6809,4.1112,9.8682,2.6035,64.5659
0.0766,4.3427,3.792,9.9174,2.5934,65.3027
0.0774,4.0082,3.4697,9.7029,2.594,65.9383
0.0852,3.8356,3.3103,10.0508,2.595,66.2589
0.08900000000000001,3.833,3.295,10.5517,2.594,66.2585
0.0878,3.6005,3.0786,11.259,2.5953,66.0174
0.0861,3.8806,3.3436,11.1898,2.5902,65.6414
0.085,4.2459,3.6834,10.2807,2.597,65.2366
0.0858,4.1344,3.5721,9.5899,2.6065,64.9774
0.0886,4.0882,3.5228,9.3096,2.5951,64.8036
0.0851,4.2155,3.636,9.5817,2.5909,64.5293
0.0827,4.3884,3.7986,8.9715,2.5928,64.0855
0.0825,4.8836,4.3036,9.0577,2.5967,63.7152
0.0758,5.5178,4.914,9.2223,2.6041,63.4209
0.0729,5.1151,4.523,8.741,2.6056,63.4431
0.07400000000000001,4.5114,3.8979,8.7543,2.6031,63.6995
0.0753,4.207,3.6111,9.4544,2.6041,64.3089
0.077,3.972,3.3819,10.0658,2.5961,64.7426
0.0805,4.229,3.6233,9.9646,2.5969,64.86399999999999
0.0832,4.5442,3.9234,9.9242,2.5997,64.5467
0.0832,4.5602,3.9534,9.4525,2.6073,64.118
0.0772,4.9142,4.3062,8.5547,2.6226,63.6409
0.0709,5.3478,4.7359,7.8864,2.627,63.2024
0.0674,5.1027,4.488,8.346,2.625,62.7968
0.0654,5.2564,4.6446,8.9019,2.6224,62.6106
0.0661,5.7643,5.0868,9.0868,2.6235,62.4405
0.0646,5.7612,5.0648,8.7682,2.6196,62.2814
0.0638,5.4663,4.8411,8.9771,2.6151,62.0771
0.0626,5.9006,5.1874,8.6794,2.6061,62.0118
0.0622,5.9691,5.2442,8.3407,2.5996,62.1208
0.0641,5.6285,4.976,8.8257,2.6075,62.3866
0.0648,5.376,4.7451,9.3777,2.6144,62.7005
0.0656,5.1402,4.511,9.61,2.616,62.9919
0.0655,4.5902,3.9289,10.0985,2.6111,63.2415
0.0648,4.2095,3.5155,10.6153,2.6019,63.6017
0.0675,4.5323,3.8208,10.9279,2.6115,63.6391
0.0723,5.6814,4.8511,10.8002,2.6168,63.4859
0.0737,7.0149,5.9576,10.6845,2.6135,62.8165
0.0708,6.7237,5.7275,10.3893,2.6189999999999998,61.9314
0.0669,7.4546,6.2095,9.8686,2.6321,60.8086
0.0667,7.7294,6.3547,8.7917,2.6337,60.1405
0.0678,6.749,5.6741,8.1997,2.6167,59.7821
0.0604,6.1686,5.2454,8.3499,2.6092,59.6147
0.0567,6.1142,5.2049,7.8991,2.6111,59.4399
0.0595,6.6083,5.5605,7.4385,2.611,59.3361
0.0614,7.2351,5.9931,7.2902,2.6034,59.295
0.0627,7.2055,5.9579,7.3229,2.594,59.4148
0.062,6.4044,5.3657,7.5741,2.5993,59.6436
0.0588,6.0197,5.0572,6.9534,2.5986,60.0142
0.0564,7.0322,5.8134,6.6451,2.5999,60.2186
0.0566,7.6113,6.1945,7.2524,2.6095,60.3393
0.0582,7.074,5.8303,7.172000000000001,2.6189,60.1162
0.0611,6.6002,5.4929,6.6237,2.6194,59.6477
0.0622,6.6998,5.5737,6.3244,2.6155,58.8995
0.06,7.9054,6.3455,6.9954,2.6266,58.4443
0.0559,9.9957,7.5945,8.3041,2.6342,58.0679
0.0535,10.7784,8.0101,8.494,2.6354,57.7465
0.0517,10.626,7.8606,7.5123,2.634,57.4118
0.0483,10.6268,7.8605,5.8606,2.6438,57.2446
0.0436,10.2265,7.6813,4.81,2.6495,57.0869
0.0412,9.0617,7.0091,5.0707,2.6434,57.193000000000005
0.0419,8.4751,6.6312,5.702000000000001,2.634,57.37
0.0458,10.2079,7.6552,6.0667,2.6289,57.6344
0.0485,11.5335,8.3885,5.8885,2.6296,57.7381
0.047,9.496,7.2866,5.8438,2.6365,57.7607
0.0451,10.2741,7.7969,6.3294,2.6449,57.7686
0.0442,11.1424,8.2808,6.4754,2.638,57.9896
0.0451,9.2665,7.1383,6.4889,2.6167,58.3605
0.0481,7.1054,5.8165,7.1954,2.6067,58.778999999999996
0.0502,6.4846,5.4039,7.8498,2.6023,59.352
0.0498,6.7183,5.5598,8.0905,2.6018,59.6997
0.0516,7.3208,5.9974,8.0178,2.6109,59.7992
0.0563,7.4838,6.1274,7.5536,2.6182,59.54
0.0556,7.1037,5.8757,7.4078,2.6243,59.1675
0.051,8.6937,6.9075,6.9843,2.6312,58.7561
0.0493,9.935,7.6813,6.4569,2.6312,58.6949
0.0502,9.0362,7.1398,6.6964,2.6335,58.9488
0.0525,8.6488,6.8925,6.6508,2.6272,59.518
0.0536,6.9934,5.769,6.3368,2.6180000000000003,59.7002
0.0566,6.1301,5.1981,6.7473,2.6057,59.8339
0.0643,6.6779,5.619,6.8432,2.5989,59.8891
0.068,7.0361,5.9062,6.5229,2.5955,60.1383
0.0669,6.6404,5.6264,6.4801,2.6011,60.3448
0.067,6.1309,5.2459,6.4627,2.6085,60.4807
0.0686,5.2551,4.524,6.7485,2.6139,60.5747
0.0706,5.0492,4.3181,7.0483,2.6167,61.0835
0.0704,5.1626,4.4474,7.36,2.6047,61.5274
0.0702,4.8263,4.1215,7.7084,2.6009,61.6516
0.0736,4.7759,4.0604,8.4412,2.6016,61.8605
0.0745,5.321000000000001,4.6392,8.6662,2.6055,61.7396
0.0715,6.5449,5.6348,8.8335,2.6255,61.474
0.0673,6.0825,5.2843,9.0558,2.6255,60.9883
0.0664,5.1744,4.4796,8.6376,2.5994,60.501999999999995
0.0684,5.6213,4.9028,7.8444,2.5979,60.0017
0.0684,6.5751,5.6755,6.9875,2.6010000000000004,59.8142
0.0665,6.4635,5.5907,6.9142,2.6041,59.7146
0.0648,6.3455,5.5011,6.6218,2.6151,60.0105
0.0647,5.7474,5.0434,6.4534,2.6126,60.7321
0.0657,5.4972,4.8551,7.3301,2.616,61.8294
0.0669,5.9968,5.2739,7.8727,2.6065,62.7881
0.067,5.4618,4.8024,8.1023,2.5909,63.2663
0.0693,4.5122,3.9308,8.9784,2.5982,63.2439
0.0766,4.3833,3.7983,10.5526,2.6133,62.8526
0.0808,4.5239,3.9472,10.7315,2.6128,62.0943
0.081,4.8904,4.3283,9.4937,2.5972,61.3633
0.077,5.2539,4.7183,9.0565,2.6064,60.8164
0.0668,5.261,4.6968,8.3712,2.6103,60.3379
0.0617,6.0064,5.3285,7.4813,2.6053,59.8842
0.0625,7.1756,6.2008,7.2895,2.6071,60.0964
0.0623,7.2888,6.2938,7.4829,2.6017,61.1061
0.0624,6.3187,5.5816,6.864,2.6011,62.3633
0.0715,4.5029,3.9804,7.0688,2.5810000000000004,63.6298
0.0848,4.3846,3.8579,7.8096,2.5515,64.3888
0.0876,4.3777,3.8572,8.6896,2.548,64.8973
0.0864,3.0815,2.6536,10.5041,2.5483,64.9465
0.0936,2.9788,2.5778,10.2628,2.55,64.6641
0.106,4.003,3.5325,8.9917,2.5678,63.9389
0.10099999999999999,4.1184,3.6115,8.5325,2.5846,63.0555
0.0803,3.9466,3.4589,8.3432,2.6056,62.7498
0.0737,3.9463,3.4586,8.2815,2.6231,63.4101
0.0787,5.4207,4.9354,8.1623,2.6189999999999998,64.6878
0.0807,6.3411,5.7294,8.6882,2.6336,65.6782
0.0763,4.8013,4.3597,10.062000000000001,2.6469,65.9514
0.0715,3.2389,2.8651,11.4376,2.6232,65.5362
0.0778,2.8173,2.5047,12.009,2.5953,64.5665
0.0935,2.975,2.6344,10.9525,2.5869999999999997,63.3818
0.1021,3.3689,2.9804,8.7804,2.5879,62.0606
0.0926,4.2753,3.8616,6.9647,2.5781,61.4855
0.0771,5.5702,5.0884,6.4157,2.5699,61.7555
0.0729,5.8412,5.3184,6.8624,2.5752,62.7297
0.0739,4.5972,4.1642,7.4589,2.5713,64.2425
0.0759,4.3515,3.9217,8.2547,2.5569,65.6721
0.0936,3.7038,3.2895,9.916,2.5422,67.0793
0.1236,2.8887,2.5586,11.7243,2.5369,68.4293
0.1318,3.0037,2.6806,12.870999999999999,2.5484,69.0942
0.1231,2.7926,2.5177,11.4498,2.5454,67.7089
0.1194,2.8685,2.5794,10.2775,2.5459,67.1113
0.1126,3.0714,2.7388,9.9228,2.5369,66.8185
0.106,3.321,2.9492,9.741,2.5381,66.7888
0.1029,3.3338,2.9509,9.6595,2.5473,66.9456
0.1046,3.0618,2.7079,9.6794,2.5494,67.2734
0.1106,3.1051,2.7489,9.9733,2.5465,67.7213
0.1188,2.9792,2.6739,9.3919,2.4739,68.3555
0.1199,2.9552,2.6404,8.8399,2.4708,68.3747
0.1148,3.0768,2.734,9.2119,2.4973,68.2555
0.11199999999999999,2.6195,2.3496,10.7458,2.5198,67.9099
0.10300000000000001,2.9022,2.6004,10.6129,2.52,66.5963
0.0992,2.9459,2.6286,9.9371,2.5349,65.7806
0.0968,3.0215,2.6889999999999996,9.1785,2.5425,64.7807
0.0917,3.5514,3.161,8.1843,2.5519,63.9545
0.0875,4.0577,3.6494,7.7547,2.5728,63.4882
0.0917,4.0491,3.6477,8.0184,2.5836,63.4853
0.0987,3.5045,3.1152,8.0564,2.5658,64.281
0.1032,3.208,2.8459,7.6249,2.5277,65.1648
0.1041,2.9816,2.6588,7.4654,2.5022,65.8834
0.1042,2.9247,2.6199,8.0136,2.5129,66.234
0.1037,2.8831,2.5816,8.48,2.5393,66.252
0.10300000000000001,3.0237,2.7058,8.4659,2.5533,66.1709
0.1041,3.5751,3.1911,8.9514,2.5475,65.8959
0.1024,3.9806,3.5812,9.149,2.5478,65.5264
0.0942,4.4022,3.9954,8.824,2.5652,65.1971
0.0891,4.5155,4.1061,9.0434,2.5736,64.8938
0.0917,4.0395,3.6377,9.9159,2.5653,64.7225
0.0968,3.5199,3.1414,10.3595,2.5595,64.7865
0.0989,3.3705,3.0154,10.2565,2.5469999999999997,65.1307
0.1006,3.5462,3.1927,9.6597,2.5292,65.4098
0.1028,3.9653,3.6048,8.5566,2.5477,65.5603
0.0988,4.3338,3.9739,8.1041,2.5775,65.5995
0.0964,4.1239,3.7658,8.8885,2.5801,65.6365
0.0998,3.6277,3.2739999999999996,10.4085,2.5699,65.6378
0.0991,3.093,2.7857,10.952,2.5477,65.8552
0.0973,3.0108,2.708,9.6649,2.5204,65.9
0.0983,3.0784,2.7618,8.5151,2.504,65.8217
0.0988,3.4373,3.0952,8.1303,2.4907,65.6813
0.1025,3.8291,3.4717,7.7635,2.4927,65.82600000000001
0.1081,3.1377,2.7914,7.3577,2.5053,66.2194
0.1104,2.7651,2.4796,7.4957,2.5173,66.8456
0.1086,2.9087,2.6171,8.2544,2.5128,67.7062
0.1129,2.7460000000000004,2.4852,9.3236,2.4837,68.6496
0.1162,2.7733,2.5067,7.6672,2.5249,68.5858
0.1149,3.2445,2.8994,7.5477,2.5266,68.5254
0.1122,2.6614,2.4103,7.606,2.4968,68.2939
0.1192,2.9494,2.7071,8.5893,2.5129,65.3263
0.1065,3.4188,3.1193,8.2071,2.5265,64.3656
0.0996,3.8276,3.5316,7.9173,2.5435,63.6161
0.0929,4.1936,3.8963,7.3167,2.5547,63.2972
0.0901,4.0477,3.7515,7.3301,2.5479,63.4157
0.0967,3.8948,3.5997,8.0449,2.5424,63.9573
0.1015,3.4108,3.1146,8.8309,2.5491,64.3748
0.1,3.4303,3.1224,9.052999999999999,2.5467,64.5249
0.1007,3.7109,3.3823,8.3459,2.537,64.4939
0.10400000000000001,3.5996,3.2928,7.2333,2.5234,64.6135
0.105,3.033,2.7562,6.4986,2.5123,64.7748
0.1055,3.32,3.0418,6.2171,2.4944,65.2149
0.1092,3.3605,3.0562,6.2266,2.4647,65.6627
0.1249,2.7952,2.5407,12.6785,2.4994,71.0928
0.1224,2.8669,2.5918,12.2252,2.5111,70.9062
0.1196,2.6726,2.4219999999999997,13.3766,2.5204,71.0181
0.1259,2.6239,2.4066,12.120999999999999,2.5358,71.3846
0.1243,2.6776,2.4358,13.0658,2.5584,71.7692
0.1227,2.7558,2.4981,15.9555,2.5508,72.1202
0.1311,3.0501,2.7914,18.6171,2.4925,72.3431
0.1312,2.6288,2.3984,17.3077,2.487,72.6783
0.1371,2.6389,2.4334,12.911,2.4958,71.281
0.1116,2.8538,2.6221,14.5694,2.4876,70.6478
0.1185,2.6310000000000002,2.4263,12.8841,2.5119,70.6413
0.1243,2.6439999999999997,2.4601,13.8706,2.5374,70.264
0.1189,2.6707,2.4821,14.2892,2.5253,70.1312
0.1156,2.7705,2.569,13.5362,2.5198,70.2987
0.1129,2.7146,2.5261,12.5165,2.5139,70.5974
0.111,2.6257,2.4613,15.3135,2.517,70.7736
0.1219,2.7805,2.5847,16.9616,2.5293,70.572
0.1309,2.6919,2.5055,16.8304,2.5329,70.6549
0.124,2.6647,2.4482,20.3559,2.4805,73.3349
0.1222,2.7588,2.4995,15.8292,2.5,73.4574
0.133,2.6243,2.4104,12.75,2.508,73.2479
0.1236,2.625,2.4266,14.6595,2.5091,73.5605
0.1291,2.7224,2.4822,14.7284,2.496,72.3681
0.1251,2.6889,2.4545,13.8694,2.5164,72.1815
0.132,2.7838,2.5382,10.5661,2.4579,71.4907
0.129,2.958,2.6777,11.0253,2.506,71.1812
0.1141,2.6605,2.4209,10.8984,2.5297,71.2424
0.1155,2.6371,2.4043,14.3409,2.5617,72.1086
0.1134,3.1927,2.8851,17.0383,2.5808,71.9547
0.1123,3.2661,2.9431,17.9748,2.5667,72.0294
0.1078,2.7848,2.4904,20.3126,2.5597,72.1774
0.1083,2.7732,2.4637,22.503,2.56,72.1319
0.1036,3.1388,2.7835,19.164,2.5661,71.9613
0.1073,3.0380000000000003,2.696,17.4305,2.5699,71.7215
0.1178,3.0899,2.7441,17.5376,2.5323,72.01
0.1166,3.6984,3.305,24.5207,2.5367,72.6198
0.1195,3.2581,2.8847,28.2316,2.515,73.3497
0.1187,3.4775,3.0843,28.3594,2.5274,74.1101
0.1183,3.9417,3.5287,25.8986,2.5382,74.2175
0.1232,3.7658,3.3564,23.1602,2.5433,73.9115
0.1222,3.2272,2.8507,22.3403,2.5508,73.2139
0.1108,2.9742,2.6367,22.1292,2.544,72.5803
0.10800000000000001,3.1477,2.786,20.7942,2.5411,72.0549
0.1121,3.1622,2.7868,19.5568,2.5401,71.6791
0.1104,2.9810000000000003,2.6449,21.0207,2.5469,71.4386
0.11199999999999999,2.8089999999999997,2.5074,23.0041,2.5688,71.4366
0.1107,2.7574,2.4727,24.2446,2.5724,71.6463
0.1081,2.9441,2.6161,22.7607,2.5660000000000003,71.9236
0.1162,2.7483,2.4292,19.6566,2.5722,72.1155
0.1215,2.6356,2.313,20.053,2.5737,72.3059
0.1192,3.3183,2.9178,18.1,2.5511,72.1952
0.1151,4.2095,3.7545,15.8251,2.5441,71.8091
0.12300000000000001,4.5273,4.0678,14.4059,2.5409,71.53
0.1336,4.2589999999999995,3.801,14.1231,2.5382,71.3889
0.1408,3.9727,3.5349,13.8809,2.5323,71.2908
0.1389,4.0676,3.6386,13.7514,2.5214,71.1665
0.1268,4.0631,3.6619,14.9607,2.528,70.7817
0.1178,4.0106,3.6242,14.5578,2.5091,70.1124
0.1114,3.9986,3.6176,13.7175,2.5176,69.3394
0.1029,3.9812,3.6082,12.2899,2.5521,68.8371
0.102,3.963,3.5984,12.2675,2.5609,68.585
0.1031,3.972,3.6163,12.8291,2.5479,68.4618
0.1036,4.051,3.6955,11.953,2.5372,68.4837
0.1022,4.4553,4.0817,12.2358,2.5336,68.6582
0.1033,4.0422,3.6467,12.7161,2.5397,68.8968
0.1037,4.0605,3.6656,12.8368,2.5333,69.0675
0.102,3.9186,3.5282,12.4227,2.5514,68.9587
0.1065,3.7653,3.3813,12.4039,2.5624,68.503
0.1062,3.6105,3.2329,12.3063,2.5610000000000004,67.8105
0.0998,3.4572,3.0859,10.7472,2.5716,67.26
0.09699999999999999,3.3027,2.9378,9.3163,2.5567,66.9746
0.0972,4.9527,4.5703,10.9386,2.5576,66.8638
0.0968,4.4432,4.0317,12.6527,2.5629,66.7881
0.0979,3.4362,3.0774,13.5423,2.5425,66.7819
0.1025,3.9763,3.5723,12.9475,2.5436,66.7653
0.1056,4.279,3.8366,11.2755,2.5704,66.7265
0.1067,4.0165,3.5686,9.6944,2.5454,66.7527
0.1059,4.1168,3.6652,9.6107,2.5162,67.00399999999999
0.1033,3.8138,3.3663,9.583,2.5231,67.4275
0.1003,3.9589,3.4969,10.8368,2.5434,67.6273
0.0997,4.0157,3.5315,12.0296,2.5380000000000003,67.6219
0.1012,3.9742,3.4705,12.3481,2.5428,67.5237
0.1018,3.9757,3.4709,10.8967,2.5532,67.6733
0.1069,3.9001,3.3963,9.5459,2.5525,67.9568
0.1104,3.8461,3.3567,9.7886,2.5292,67.9415
0.1072,3.9883,3.4925,9.8323,2.5072,67.5624
0.1016,3.4394,2.9623,11.0251,2.5121,67.0769
0.1041,3.3889,2.9206,11.3946,2.5512,66.6206
0.1055,4.0799,3.5708,9.7944,2.5622,66.3347
0.0954,4.4765,3.9485,10.2086,2.5559,66.1077
0.0927,4.2194,3.7068,11.2424,2.5581,66.0289
0.0973,4.1955,3.6949,10.9287,2.5663,65.9607
0.1013,4.8031,4.2887,9.8897,2.5708,66.211
0.1053,5.0262,4.4856,10.6925,2.5452,66.5488
0.1052,4.6947,4.1707,12.3356,2.5511,67.0623
0.0994,4.6958,4.1717,14.7662,2.5645,67.668
0.0965,4.7129,4.2001,17.7481,2.5571,68.0354
0.1003,4.721,4.213,18.4515,2.5651,68.1676
0.1034,4.2559,3.7495,17.4654,2.5655,68.0463
0.1025,4.1516,3.6574,16.3128,2.5669999999999997,67.759
0.0977,4.6431,4.1548,15.4254,2.5749,67.434
0.096,4.5727,4.09,15.2201,2.5581,67.2787
0.0962,4.0971,3.6477,14.4768,2.5566,67.2017
0.0985,4.309,3.8866,13.715,2.5653,67.2159
0.1043,4.6698,4.2564,13.7795,2.5617,67.1317
0.1059,4.1543,3.7674,13.6537,2.5752,67.0304
0.1017,3.7829,3.4412,12.6002,2.5668,66.8957
0.1008,4.252,3.9223,12.845999999999998,2.5466,66.7596
0.1,4.2529,3.9232,13.9137,2.5517,66.5061
0.1015,4.3574,4.0475,14.8047,2.5365,66.3526
0.1133,4.1499,3.8442,13.9967,2.533,66.3642
0.1203,3.9311,3.6299,13.2029,2.5395,66.857
0.1202,3.193,2.9276,12.4235,2.5097,67.7041
0.1212,3.1144,2.873,12.1086,2.4621,68.8022
0.1212,3.5421,3.2935,12.5429,2.45,69.3152
0.1258,3.0457,2.7781,11.7392,2.4774,69.1332
0.1299,2.6745,2.4315,10.7826,2.5011,68.1511
0.1316,3.3892,3.1325,10.192,2.4989,67.0162
0.1194,3.5732,3.3132,9.0687,2.5153,65.9041
0.1072,3.3839,3.1177,8.8441,2.5227,65.1334
0.1014,3.5568,3.2708,9.0129,2.5166,64.6166
0.0987,4.4073,4.0748,8.6908,2.4991,64.5296
0.0956,4.4976,4.1553,8.7911,2.4978,64.7874
0.094,4.59,4.2376,9.6793,2.5073,65.1918
0.0963,4.3073,3.9363,11.5808,2.5411,65.7648
0.0971,4.1664,3.7893,12.7585,2.5521,66.0843
0.0997,4.1668,3.7898,12.8712,2.537,66.2974
0.1071,4.1012,3.6945,12.3784,2.5412,66.4247
0.1084,4.1636,3.737,13.0891,2.5512,66.8265
0.1044,4.3712,3.9023,13.7662,2.5549,67.1395
0.1014,3.9495,3.4769,14.6741,2.5534,67.6424
0.0964,3.6541,3.1812,18.7223,2.5495,68.1104
0.0964,4.1455,3.6502,21.5678,2.5508,68.3528
0.0982,4.7659,4.2557,19.6632,2.5389,68.2809
0.1004,4.4761,3.9533,18.8072,2.5296,68.1933
0.1031,4.2886,3.7614,20.1608,2.5433,68.2088
0.10400000000000001,4.4471,3.9138,20.4673,2.5511,68.3871
0.1058,4.1111,3.5882,21.6195,2.5542,68.6111
0.1043,4.314,3.7968,23.7239,2.5518,68.8744
0.1058,4.2251,3.6972,25.1207,2.5416,69.0943
0.1093,3.7135,3.2042,25.0318,2.5486,69.1488
0.1098,3.9717,3.4530000000000003,24.475,2.5668,68.8679
0.1098,4.271,3.7391,21.8972,2.5682,68.296
0.1086,4.4285,3.8756,19.2443,2.5521,67.687
0.1071,4.6661,4.1068,18.6083,2.5544,67.3966
0.10099999999999999,5.3406,4.7860000000000005,20.1886,2.5504,67.9854
0.0989,5.0266,4.4483,21.6147,2.5558,69.0257
0.1086,4.5409,3.9568,22.2632,2.5457,69.9575
0.1108,4.9873,4.3995,23.7386,2.532,70.6386
0.1092,4.2486,3.6579,25.4581,2.5482,71.0773
0.1165,3.841,3.2555,25.4747,2.5734,71.1005
0.1183,4.1559,3.5624,25.5136,2.5604,70.8379
0.1164,3.8647,3.2697,27.3434,2.5476,70.2869
0.1202,3.574,3.0,26.9088,2.5751,69.4492
0.12300000000000001,4.1736,3.5369,24.8424,2.5789,68.4186
0.1196,4.2339,3.5762,20.99,2.5588,67.1507
0.1039,4.2173,3.5597,18.2868,2.5577,66.6617
0.095,5.127999999999999,4.4562,16.0404,2.5413,66.7788
0.0978,5.2331,4.5768,14.6447,2.5371,67.3038
0.1019,4.798,4.1528,15.5277,2.5591,67.6703
0.1017,4.9149,4.2973,17.875,2.5727,67.9295
0.1017,5.9055,5.2062,21.4138,2.5612,68.1589
0.1054,6.0164,5.2862,20.7121,2.5615,68.0211
0.1056,4.9097,4.2644,17.9265,2.5492,67.4799
0.106,4.3849,3.7335,16.546,2.5448,66.6636
0.10800000000000001,4.7891,4.1361,16.2475,2.5511,65.6834
0.1057,6.6441,5.7446,17.0215,2.5712,65.0029
0.106,7.165,6.1293,17.2562,2.5941,64.5072
0.1004,6.0603,5.2799,17.0381,2.574,64.1438
0.091,5.6939,4.9847,15.655999999999999,2.5574,63.7485
0.0874,5.7989999999999995,5.0535,14.1694,2.5772,63.5356
0.0863,6.3808,5.4889,13.4788,2.5962,63.3649
0.0841,7.4341,6.2518,12.4338,2.5905,63.395
0.08,7.3576,6.1911,11.5054,2.5984,63.4092
0.08,7.3487,6.1779,11.6273,2.6209,63.4166
0.0838,6.9928,5.9178,12.8745,2.6272,63.4603
0.08900000000000001,6.6183,5.6442,12.9416,2.6144,63.4753
0.0937,6.2076,5.3417,12.0101,2.5879,63.8207
0.095,6.6078,5.6441,10.1954,2.5653,64.0751
0.0937,6.0028,5.1831,9.4994,2.5442,64.2874
0.094,5.4239999999999995,4.6832,11.227,2.541,64.3454
0.0953,5.6688,4.9304,13.0385,2.5499,64.1746
0.106,6.2922,5.42,12.606,2.5509,64.0435
0.1146,6.6577,5.702999999999999,10.8646,2.5403,63.8893
0.1046,6.3389,5.4622,9.6894,2.5393,63.7411
0.0934,5.6401,4.8673,8.8622,2.5433,63.7394
0.0895,5.2312,4.4964,8.6713,2.5367,63.871
0.0888,5.2938,4.5642,8.5306,2.5342,64.2465
0.0889,5.5487,4.817,9.0231,2.5375,64.5878
0.0913,5.7211,4.9642,9.3609,2.5269999999999997,64.8182
0.0933,5.5909,4.8352,9.4877,2.523,64.8223
0.0893,5.3257,4.556,10.9253,2.5499,64.8022
0.0859,5.5811,4.8215,12.1848,2.5694,64.7243
0.0874,6.2646,5.4473,14.6893,2.5607,64.6051
0.09300000000000001,7.0562,6.0793,16.2194,2.5508,64.4101
0.1005,7.0893,6.1047,15.8511,2.5699,64.1624
0.1038,5.7326,4.9475,15.1449,2.5861,63.902
0.0982,4.7327,4.0429,14.5572,2.5765,63.5152
0.0949,4.6463,3.9879,14.6492,2.5613,62.9818
0.0886,4.9339,4.3394,15.3379,2.5562,62.3536
0.0836,5.1728,4.598,15.8431,2.5492,62.1047
0.0821,4.9510000000000005,4.3611,15.4623,2.5554,62.1447
0.0796,4.1554,3.5591,15.0666,2.5724,62.5542
0.0781,3.8847,3.2987,15.0096,2.5735,63.0994
0.0807,4.0559,3.4655,15.261,2.563,63.7506
0.0913,4.69,4.0868,14.8934,2.5687,64.4232
0.1002,5.1532,4.5396,13.28,2.5487,65.0085
0.0981,5.7422,5.0489,11.12,2.5249,65.0621
0.0971,5.8096,5.102,10.1784,2.5265,64.6969
0.1002,5.3171,4.6557,9.6594,2.533,64.1482
0.098,4.9639999999999995,4.3079,9.5128,2.5466,63.6809
0.09699999999999999,5.016,4.3377,9.7239,2.5535,63.1848
0.0967,5.0489999999999995,4.376,8.9601,2.5567,62.6421
0.0859,4.9128,4.2093,7.9633,2.5608,62.2355
0.0766,4.89,4.1984,7.5944,2.5809,62.2623
0.0748,5.3878,4.6864,8.1572,2.5909,62.7128
0.0781,5.1301,4.4143,10.4491,2.5793,63.5382
0.0908,4.8845,4.1634,12.0025,2.5606,64.393
0.1052,5.0059,4.2817,12.9835,2.535,65.161
0.1055,5.2016,4.4742,15.6055,2.5352,65.4468
